population,drainage,total.carbon,sand.percent,ph,bulk.density,total.nitrogen_k_per_kg,cation.exchange.capacity,clay.c.e.c,exchangeable.sodium.percent,altitude_meters
Amboseli,2.703950977,11.48024511,19.47356874,10.11185293,1.278881471,0.497434607,30.07234316,69.58542167,22.95381385,1133
Bissil,5.127745748,12.62761118,54.1793184,5.988244232,1.361821563,1.070462814,19.26525773,41.93202165,1.127745748,1415
Emali,5,6.828888798,56.68614084,5.238588648,1.340721272,0.890717897,10.77813115,15.52389955,1.592787285,1111
Kiboko,4.211727,9.871551849,34.01891476,6.906208712,1.308830807,0.79326774,28.63689334,53.46578294,5.251910844,929
Kibwezi,6.895224269,14.36872622,60.68104225,5.981140368,1.317334301,0.976949339,10.12992191,46.32358831,3.895224269,930
Magadi,4.759294923,20.67826994,32.98237307,6.036987108,1.222778848,1.632054512,27.84735596,24.4246777,4.518589846,623
MasaiMara,3.280947706,17.75241835,20.28094771,6.960667321,1.587857844,1.221571569,36.34293004,52.61895412,1,1560
Nairobi,3.004933543,11.97439085,14.50123339,5.744765657,1.410197342,1.540493354,26.29805052,31.96299843,3.992599686,1797
Nakuru,4.735692718,16.64185585,30.61216136,6.308316711,1.205235221,1.391788305,24.74976688,54.23077344,9.136296625,1755
Namanga,5.655269305,14.42130699,61.65539068,5.914541405,1.282598841,1.321164272,12.25261964,30.79020789,1.165539068,1380
Ologgasailie,4.395721225,15.24118697,29.25212759,6.800178095,1.228448745,1.334420607,25.83595332,45.60008983,3.981513943,915
Oloitoktok,5,8.75,39,6.12,1.34,1.26,15,34,1,1713
SultanHamud,5.837817756,6.016533963,74.78331486,6.235108128,1.195588271,0.838112712,9.038152468,52.24524973,2.581091122,1320
Taveta,5,8.51598613,43.6802774,6.063836671,1.368081664,1.185115562,13.63603344,31.19183356,1.401166635,894